movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt10016180,The Little Things,John Lee Hancock,Denzel Washington Rami Malek Jared Leto Chris Bauer,Crime/ Drama/ Thriller,127,R,Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead/ he becomes embroiled in the search for a serial killer who is terrorizing the city.,0.7365,3,3,0,no alcohol or smoking
tt6571548,The White Tiger,Ramin Bahrani,Adarsh Gourav Rajkummar Rao Priyanka Chopra Vedant Sinha,Crime/ Drama,125,R,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,0.7674,3,1,0,smoking and drinking
tt9620292,Promising Young Woman,Emerald Fennell,Carey Mulligan Bo Burnham Alison Brie Clancy Brown,Crime/ Drama/ Thriller,113,15,A young woman/ traumatized by a tragic event in her past/ seeks out vengeance against those who crossed her path.,0.7663,0,3,0,drinking
tt6857376,Palmer,Fisher Stevens,Justin Timberlake Ryder Allen Alisha Wainwright Juno Temple,Drama,110,R,An ex-convict strikes up a friendship with a boy from a troubled home.,0.7278,1,0,0,drinking
tt9794630,Hour of Lead,Peter Facinelli,Anne Heche Thomas Jane Jason Patric Alex Haydon,Action/ Mystery/ Thriller,95,R,Story of a husband and wife that will stop at nothing to find their missing daughter/ who disappeared on a family camping trip. When the police don't catch any leads/ the duo take over.,0.7399,3,3,0,drinking
tt10451914,Outside the Wire,Mikael Håfström,Anthony Mackie Damson Idris Enzo Cilenti Emily Beecham,Action/ Adventure/ Fantasy,114,R,In the near future/ a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.,0.7059,3,3,1,no alcohol or smoking
tt10612922,One Night in Miami,Regina King,Kingsley Ben-Adir Eli Goree Aldis Hodge Leslie Odom Jr.,Drama,114,R,A fictional account of one incredible night where icons Muhammad Ali/ Malcolm X/ Sam Cooke/ and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.,0.7698,0,3,0,smoking and drinking
tt2312718,Homefront,Gary Fleder,Jason Statham James Franco Winona Ryder Kate Bosworth,Action/ Crime/ Thriller,100,18,A former DEA agent moves his family to a quiet town/ where he soon tangles with a local meth druglord.,0.848,3,3,7,smoking and drinking
tt11161474,Pieces of a Woman,Kornél Mundruczó,Vanessa Kirby Shia LaBeouf Ellen Burstyn Iliza Shlesinger,Drama,126,R,When a young mother's home birth ends in unfathomable tragedy/ she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.,0.6974,0,0,0,smoking and drinking
tt9608818,The Friend,Gabriela Cowperthwaite,Jason Segel Isabella Kai Violet McGraw Casey Affleck,Drama,124,R,After receiving life-altering news/ a couple finds unexpected support from their best friend/ who puts his own life on hold and moves into their family home/ bringing an impact much greater and more profound than anyone could have imagined,0.5427,0,0,2,drinking
tt9686708,The King of Staten Island,Judd Apatow,Pete Davidson Bel Powley Ricky Velez Lou Wilson,Comedy/ Drama,136,R,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,0.8119,3,3,5,smoking and drinking
tt9110170,Wrong Turn,Mike P. Nelson,Matthew Modine Emma Dumont Charlotte Vega Daisy Head,Horror/ Thriller,109,R,Friends hiking the Appalachian Trail are confronted by 'The Foundation'/ a community of people who have lived in the mountains for hundreds of years.,0.7885,3,3,0,drinking
tt0993846,The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio Jonah Hill Margot Robbie Matthew McConaughey,Biography/ Crime/ Drama,180,18,Based on the true story of Jordan Belfort/ from his rise to a wealthy stock-broker living the high life to his fall involving crime/ corruption and the federal government.,0.82,3,3,5,smoking and drinking
tt9130508,Cherry,None,None,Crime/ Drama,,R,Directors:Anthony Russo/ Joe Russo|     Stars:Tom Holland/ Ciara Bravo/ Jack Reynor/ Forrest Goodluck,0.5427,0,0,0,no alcohol or smoking
tt8367814,The Gentlemen,Guy Ritchie,Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong,Action/ Comedy/ Crime,113,18,An American expat tries to sell off his highly profitable marijuana empire in London/ triggering plots/ schemes/ bribery and blackmail in an attempt to steal his domain out from under him.,0.8233,3,0,2,smoking and drinking
tt0067328,The Last Picture Show,Peter Bogdanovich,Timothy Bottoms Jeff Bridges Cybill Shepherd Ben Johnson,Drama/ Romance,118,R,In 1951/ a group of high schoolers come of age in a bleak/ isolated/ atrophied North Texas town that is slowly dying/ both culturally and economically.,0.7831,1,3,1,smoking and drinking
tt6751668,Gisaengchung,Bong Joon Ho,Kang-ho Song Lee Sun-kyun Cho Yeo-jeong Choi Woo-sik,Comedy/ Drama/ Thriller,132,15,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,0.7726,3,3,7,smoking and drinking
tt5363618,Sound of Metal,Darius Marder,Riz Ahmed Olivia Cooke Paul Raci Lauren Ridloff,Drama/ Music,120,R,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,0.7663,0,3,0,smoking and drinking
tt1706620,Seolgungnyeolcha,Bong Joon Ho,Chris Evans Jamie Bell Tilda Swinton Ed Harris,Action/ Drama/ Sci-Fi,126,15,In a future where a failed climate-change experiment has killed all life except for the lucky few who boarded the Snowpiercer/ a train that travels around the globe/ a new class system emerges.,0.7807,3,0,8,drinking
tt7131622,Once Upon a Time... in Hollywood,Quentin Tarantino,Leonardo DiCaprio Brad Pitt Margot Robbie Emile Hirsch,Comedy/ Drama,161,18,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,0.8066,3,3,5,smoking and drinking
tt12676326,Malcolm & Marie,Sam Levinson,John David Washington Zendaya,Drama/ Romance,106,R,A director and his girlfriend's relationship is tested after they return home from his movie premiere and await critics' responses.,0.5427,0,0,0,no alcohol or smoking
tt9770150,Nomadland,Chloé Zhao,Frances McDormand David Strathairn Linda May Gay DeForest,Drama,108,R,After losing everything in the Great Recession/ a woman embarks on a journey through the American West/ living as a van-dwelling modern-day nomad.,0.7879,0,3,2,smoking and drinking
tt1596363,The Big Short,Adam McKay,Christian Bale Steve Carell Ryan Gosling Brad Pitt,Biography/ Comedy/ Drama,130,18,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,0.5427,0,3,4,smoking and drinking
tt10554232,Dara iz Jasenovca,None,None,Drama/ History/ War,130,R,Director:Predrag Antonijevic|     Stars:Natasa Ninkovic/ Vuk Kostic/ Marko Janketic/ Natasa Drakulic,0.5427,0,0,0,no alcohol or smoking
tt9016974,Synchronic,Justin Benson Aaron Moorhead,Anthony Mackie Jamie Dornan Katie Aselton Ally Ioannides,Drama/ Horror/ Sci-Fi,102,R,Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre/ otherworldly effects.,0.5427,0,3,0,no alcohol or smoking
tt0111161,The Shawshank Redemption,Frank Darabont,Tim Robbins Morgan Freeman Bob Gunton William Sadler,Drama,142,15,Two imprisoned men bond over a number of years/ finding solace and eventual redemption through acts of common decency.,0.8396,3,3,6,smoking and drinking
tt13061914,Locked Down,Doug Liman,Chiwetel Ejiofor Anne Hathaway Sonic Dulé Hill,Comedy/ Crime/ Romance,118,R,A couple attempts a high-risk/ high-stakes jewelry heist at a department store.,0.5427,0,3,0,smoking and drinking
tt0068646,Daeboo,Francis Ford Coppola,Marlon Brando Al Pacino James Caan Diane Keaton,Crime/ Drama,175,18,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,0.8332,3,3,4,smoking and drinking
tt1070874,The Trial of the Chicago 7,Aaron Sorkin,Eddie Redmayne Alex Sharp Sacha Baron Cohen Jeremy Strong,Drama/ History/ Thriller,129,18,The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago/ Illinois.,0.7827,3,0,1,smoking and drinking
tt8110232,The Many Saints of Newark,None,None,Crime/ Drama,,R,Director:Alan Taylor|     Stars:Vera Farmiga/ Jon Bernthal/ Michael Gandolfini/ Leslie Odom Jr.,0.5427,0,0,0,no alcohol or smoking
tt8579674,1917,Sam Mendes,Dean-Charles Chapman George MacKay Daniel Mays Colin Firth,Drama/ Thriller/ War,119,15,April 6th/ 1917. As a regiment assembles to wage war deep in enemy territory/ two soldiers are assigned to race against time and deliver a message that will stop 1/600 men from walking straight into a deadly trap.,0.8169,3,3,4,smoking and drinking
tt8368294,The Sound of Philadelphia,Jérémie Guez,Matthias Schoenaerts Joel Kinnaman Maika Monroe Paul Schneider,Action/ Crime/ Drama,105,R,A tale of family/ friendships and betrayal in the violent world of the Philadelphia mob.,0.5427,0,0,0,no alcohol or smoking
tt9484998,Palm Springs,Max Barbakow,Andy Samberg Cristin Milioti J.K. Simmons Peter Gallagher,Comedy/ Fantasy/ Mystery,90,R,When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding/ things get complicated as they are unable to escape the venue/ themselves/ or each other.,0.7723,3,3,0,drinking
tt7395114,The Devil All the Time,Antonio Campos,Donald Ray Pollock Bill Skarsgård Tom Holland Michael Banks Repeta,Crime/ Drama/ Thriller,138,18,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,0.8132,1,3,5,smoking and drinking
tt6394270,Bombshell,Jay Roach,Charlize Theron Nicole Kidman Margot Robbie John Lithgow,Biography/ Drama,109,15,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.,0.7082,0,1,0,smoking and drinking
tt4263482,The VVitch: A New-England Folktale,Robert Eggers,Anya Taylor-Joy Ralph Ineson Kate Dickie Julian Richings,Drama/ Horror/ Mystery,92,15,A family in 1630s New England is torn apart by the forces of witchcraft/ black magic/ and possession.,0.7729,3,3,3,no alcohol or smoking
tt7286456,Joker,Todd Phillips,Joaquin Phoenix Robert De Niro Zazie Beetz Frances Conroy,Crime/ Drama/ Thriller,122,15,In Gotham City/ mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.,0.7787,3,3,4,smoking and drinking
tt9784798,Judas and the Black Messiah,None,None,Biography/ Drama/ History,126,R,Director:Shaka King|     Stars:Daniel Kaluuya/ LaKeith Stanfield/ Jesse Plemons/ Martin Sheen,0.5427,0,0,0,no alcohol or smoking
tt10362466,After We Collided,Roger Kumble,Josephine Langford Hero Fiennes Tiffin Dylan Sprouse Louise Lombard,Drama/ Romance,105,15,Based on the 2014 romance novel of the same name/ this follows the love life of two young adults.,0.7407,0,3,4,drinking
tt0361748,Inglourious Basterds,Quentin Tarantino,Brad Pitt Diane Kruger Eli Roth Mélanie Laurent,Adventure/ Drama/ War,153,18,In Nazi-occupied France during World War II/ a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.,0.8366,3,1,6,smoking and drinking
tt9691136,Shadow in the Cloud,Roseanne Liang,Chloë Grace Moretz Nick Robinson Beulah Koale Taylor John Smith,Action/ Horror/ War,83,R,A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,0.5427,0,3,1,no alcohol or smoking
tt0099685,Goodfellas,Martin Scorsese,Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco,Biography/ Crime/ Drama,146,18,The story of Henry Hill and his life in the mob/ covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.,0.8359,3,3,3,smoking and drinking
tt1051906,The Invisible Man,Leigh Whannell,Elisabeth Moss Oliver Jackson-Cohen Harriet Dyer Aldis Hodge,Drama/ Horror/ Mystery,124,15,When Cecilia's abusive ex takes his own life and leaves her his fortune/ she suspects his death was a hoax. As a series of coincidences turn lethal/ Cecilia works to prove that she is being hunted by someone nobody can see.,0.8175,3,3,1,drinking
tt1675434,The Intouchables,Olivier Nakache Éric Toledano,François Cluzet Omar Sy Anne Le Ny Audrey Fleurot,Biography/ Comedy/ Drama,112,12,After he becomes a quadriplegic from a paragliding accident/ an aristocrat hires a young man from the projects to be his caregiver.,0.6996,0,3,3,smoking and drinking
tt0110912,Pulp Fiction,Quentin Tarantino,John Travolta Uma Thurman Samuel L. Jackson Bruce Willis,Crime/ Drama,154,18,The lives of two mob hitmen/ a boxer/ a gangster and his wife/ and a pair of diner bandits intertwine in four tales of violence and redemption.,0.8298,3,3,6,smoking and drinking
tt10919380,Freaky,Christopher Landon,Vince Vaughn Kathryn Newton Celeste O'Connor Misha Osherovich,Comedy/ Horror/ Thriller,102,15,After swapping bodies with a deranged serial killer/ a young girl in high school discovers she has less than 24 hours before the change becomes permanent.,0.8031,3,1,5,drinking
tt8772262,Midsommar,Ari Aster,Florence Pugh Jack Reynor Vilhelm Blomgren William Jackson Harper,Drama/ Horror/ Mystery,148,18,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,0.7884,3,3,3,drinking
tt1856101,Blade Runner 2049,Denis Villeneuve,Harrison Ford Ryan Gosling Ana de Armas Dave Bautista,Action/ Drama/ Mystery,164,15,Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard/ who's been missing for thirty years.,0.819,3,3,2,smoking and drinking
tt0407887,The Departed,Martin Scorsese,Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg,Crime/ Drama/ Thriller,151,15,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,0.8432,3,3,5,drinking
