movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt0317219,Cars,John Lasseter Joe Ranft,Owen Wilson Bonnie Hunt Paul Newman Larry the Cable Guy,Animation/ Comedy/ Family,117,All,A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs/ where he finds the true meaning of friendship and family.,0.7993,3,0,1,drinking
tt0110357,The Lion King,Roger Allers Rob Minkoff,Matthew Broderick Jeremy Irons James Earl Jones Whoopi Goldberg,Animation/ Adventure/ Drama,88,All,Lion prince Simba and his father are targeted by his bitter uncle/ who wants to ascend the throne himself.,0.8045,3,0,1,no alcohol or smoking
tt1979376,Toy Story 4,Josh Cooley,Tom Hanks Tim Allen Annie Potts Tony Hale,Animation/ Adventure/ Comedy,100,All,"When a new toy called ""Forky"" joins Woody and the gang/ a road trip alongside old and new friends reveals how big the world can be for a toy.",0.7717,3,3,0,drinking
tt0382932,Ratatouille,Brad Bird Jan Pinkava,Brad Garrett Lou Romano Patton Oswalt Ian Holm,Animation/ Adventure/ Comedy,111,All,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,0.8367,3,3,0,drinking
tt0059742,The Sound of Music,Robert Wise,Julie Andrews Christopher Plummer Eleanor Parker Richard Haydn,Biography/ Drama/ Family,172,All,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,0.7367,3,3,0,smoking and drinking
tt0120762,Mulan,Tony Bancroft Barry Cook,Ming-Na Wen Eddie Murphy BD Wong Miguel Ferrer,Animation/ Adventure/ Family,88,All,To save her father from death in the army/ a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.,0.8019,3,3,0,smoking and drinking
tt0062622,2001: A Space Odyssey,Stanley Kubrick,Keir Dullea Gary Lockwood William Sylvester Daniel Richter,Adventure/ Sci-Fi,149,12,After discovering a mysterious artifact buried beneath the Lunar surface/ mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.,0.763,3,1,2,drinking
tt0114709,Toy Story,John Lasseter,Tom Hanks Tim Allen Don Rickles Jim Varney,Animation/ Adventure/ Comedy,81,All,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,0.7351,3,3,0,drinking
tt0910970,WALL·E,Andrew Stanton,Ben Burtt Elissa Knight Jeff Garlin Fred Willard,Animation/ Adventure/ Family,98,All,In the distant future/ a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.,0.7954,3,1,0,no alcohol or smoking
tt0058331,Mary Poppins,Robert Stevenson,Julie Andrews Dick Van Dyke David Tomlinson Glynis Johns,Comedy/ Family/ Fantasy,139,All,In turn of the century London/ a magical nanny employs music and adventure to help two neglected children become closer to their father.,0.7226,0,0,0,smoking and drinking
tt0119282,Hercules,Ron Clements John Musker,Tate Donovan Susan Egan James Woods Josh Keaton,Animation/ Adventure/ Comedy,93,All,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,0.784,3,1,0,smoking and drinking
tt0266543,Finding Nemo,Andrew Stanton Lee Unkrich,Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe,Animation/ Adventure/ Comedy,100,All,After his son is captured in the Great Barrier Reef and taken to Sydney/ a timid clownfish sets out on a journey to bring him home.,0.8082,1,0,0,no alcohol or smoking
tt0069303,Sounder,Martin Ritt,Cicely Tyson Paul Winfield Kevin Hooks Carmen Mathews,Drama/ Family,105,None,The oldest son of a loving and strong family of black sharecroppers comes of age in the Depression-era South after his father is imprisoned for stealing food.,0.7866,1,0,2,no alcohol or smoking
